32.3482,-86.2668,5261.0
58.30154,-134.42271,4802.0
32.7506,-111.6707,4326.0
37.0726,-97.0385,4828.0
38.5677,-121.4685,5605.0
38.8674,-104.7605,4222.0
41.7661,-72.6834,4226.0
39.16359,-75.53179,4758.0
30.4551,-84.2527,3798.0
33.7628,-84.422,4645.0
21.2975,-157.7211,3752.0
43.6005,-116.2308,5587.0
39.7709,-89.654,5617.0
39.7771,-86.1458,4655.0
41.5521,-93.7806,4201.0
39.0346,-95.6955,3437.0
38.1924,-84.8643,4402.0
30.442,-91.1311,4848.0
33.5214,-81.9547,4388.0
38.9706,-76.5047,4795.0
42.3188,-71.0852,4384.0
42.7142,-84.5601,4533.0
44.95239,-93.09488,4977.0
32.3157,-90.2125,4883.0
38.5676,-92.1759,4691.0
46.5965,-112.0202,5784.0
40.8099,-96.6784,5172.0
39.1511,-119.7476,5514.0
43.2305,-71.5595,4219.0
40.2237,-74.7641,3802.0
35.6824,-105.94144,5014.0
42.65529,-73.76108,5257.0
35.8324,-78.6429,4742.0
46.8143,-100.7694,5220.0
39.9862,-82.9855,4649.0
35.4676,-97.5136,4376.0
44.9233,-123.0244,4243.0
40.2752,-76.8843,4926.0
40.1485,-75.4266,3871.0
34.0378,-80.9036,4439.0
44.3748,-100.3205,4236.0
36.1715,-86.7842,4772.0
30.3005,-97.7522,4712.0
40.7776,-111.9311,4443.0
44.2659,-72.5717,4860.0
45.125,-92.5377,4842.0
47.0417,-122.8959,4623.0
32.9067,-80.0722,5174.0
40.6207,-91.3509,4196.0
41.135,-104.7902,4309.0
